ledger_row,finding_id,run_id,severity,finding_code,tickera_event_id,woo_product_id,woo_variation_id,observed_scope,expected_scope,source_risk_code,wordpress_producer,wordpress_evidence_field,wordpress_evidence_state,feed_json_path,phoenix_parser,phoenix_normalizer,finding_emitter,classification,classification_reason,confidence,proposed_phase_5b_action,requires_wordpress_change,requires_phoenix_change,requires_contract_version_change
28,bcb97323-ac88-4118-91ea-86116eed081d,3efd208f-b148-4568-8591-13d968399081,blocking,bundle,,109741,,product,product,bundle,normalize_catalog_row,product_semantics.bundle,unknown,catalog_rows[].product_semantics.bundle,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports bundle as unknown because no reviewed authoritative source is defined,high,Define authoritative bundle evidence states and preserve unknown as blocking,true,true,true
29,fda96751-d879-42c7-8793-4884fe0c62c1,3efd208f-b148-4568-8591-13d968399081,blocking,membership,,100344,,product,product,membership,normalize_catalog_row,product_semantics.membership,unknown,catalog_rows[].product_semantics.membership,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports membership as unknown because no reviewed authoritative source is defined,high,Define authoritative membership evidence states and preserve unknown as blocking,true,true,true
30,acd89248-145d-49b2-b730-175b0ed2272e,3efd208f-b148-4568-8591-13d968399081,blocking,membership,,100684,,product,product,membership,normalize_catalog_row,product_semantics.membership,unknown,catalog_rows[].product_semantics.membership,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports membership as unknown because no reviewed authoritative source is defined,high,Define authoritative membership evidence states and preserve unknown as blocking,true,true,true
31,4e332c26-0949-4f4f-8e7d-3c3230f014c4,3efd208f-b148-4568-8591-13d968399081,blocking,membership,,104303,,product,product,membership,normalize_catalog_row,product_semantics.membership,unknown,catalog_rows[].product_semantics.membership,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports membership as unknown because no reviewed authoritative source is defined,high,Define authoritative membership evidence states and preserve unknown as blocking,true,true,true
32,5edfb523-7169-4081-b26f-20de0c3a7443,3efd208f-b148-4568-8591-13d968399081,blocking,membership,,106812,,product,product,membership,normalize_catalog_row,product_semantics.membership,unknown,catalog_rows[].product_semantics.membership,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports membership as unknown because no reviewed authoritative source is defined,high,Define authoritative membership evidence states and preserve unknown as blocking,true,true,true
33,d688949f-4536-4ad7-8604-789e1ac714db,3efd208f-b148-4568-8591-13d968399081,blocking,membership,,106813,,product,product,membership,normalize_catalog_row,product_semantics.membership,unknown,catalog_rows[].product_semantics.membership,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports membership as unknown because no reviewed authoritative source is defined,high,Define authoritative membership evidence states and preserve unknown as blocking,true,true,true
34,8560dfb3-8ecb-4336-b5e8-aa297e87b664,3efd208f-b148-4568-8591-13d968399081,blocking,membership,,106814,,product,product,membership,normalize_catalog_row,product_semantics.membership,unknown,catalog_rows[].product_semantics.membership,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports membership as unknown because no reviewed authoritative source is defined,high,Define authoritative membership evidence states and preserve unknown as blocking,true,true,true
35,45e01293-ef52-4510-b3d2-7137bf7b6f2d,3efd208f-b148-4568-8591-13d968399081,blocking,membership,,106815,,product,product,membership,normalize_catalog_row,product_semantics.membership,unknown,catalog_rows[].product_semantics.membership,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports membership as unknown because no reviewed authoritative source is defined,high,Define authoritative membership evidence states and preserve unknown as blocking,true,true,true
36,95641728-2c74-4202-95c8-bdd3a37712fa,3efd208f-b148-4568-8591-13d968399081,blocking,membership,,106816,,product,product,membership,normalize_catalog_row,product_semantics.membership,unknown,catalog_rows[].product_semantics.membership,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports membership as unknown because no reviewed authoritative source is defined,high,Define authoritative membership evidence states and preserve unknown as blocking,true,true,true
37,980113f1-593a-43df-8d5c-55870738e8f0,3efd208f-b148-4568-8591-13d968399081,blocking,membership,,107605,,product,product,membership,normalize_catalog_row,product_semantics.membership,unknown,catalog_rows[].product_semantics.membership,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports membership as unknown because no reviewed authoritative source is defined,high,Define authoritative membership evidence states and preserve unknown as blocking,true,true,true
38,a13466c1-8472-4dfd-a46a-9ce26fef39fe,3efd208f-b148-4568-8591-13d968399081,blocking,membership,,107607,,product,product,membership,normalize_catalog_row,product_semantics.membership,unknown,catalog_rows[].product_semantics.membership,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports membership as unknown because no reviewed authoritative source is defined,high,Define authoritative membership evidence states and preserve unknown as blocking,true,true,true
39,09c97afa-6e58-4175-ac36-55f733fab34f,3efd208f-b148-4568-8591-13d968399081,blocking,membership,,107611,,product,product,membership,normalize_catalog_row,product_semantics.membership,unknown,catalog_rows[].product_semantics.membership,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports membership as unknown because no reviewed authoritative source is defined,high,Define authoritative membership evidence states and preserve unknown as blocking,true,true,true
40,3f1d11ae-412f-431c-a064-0c55d7d3d03f,3efd208f-b148-4568-8591-13d968399081,blocking,membership,,107926,,product,product,membership,normalize_catalog_row,product_semantics.membership,unknown,catalog_rows[].product_semantics.membership,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports membership as unknown because no reviewed authoritative source is defined,high,Define authoritative membership evidence states and preserve unknown as blocking,true,true,true
41,d955ed2a-9f2a-4d3c-91f8-7ed9df6e17be,3efd208f-b148-4568-8591-13d968399081,blocking,membership,,109740,,product,product,membership,normalize_catalog_row,product_semantics.membership,unknown,catalog_rows[].product_semantics.membership,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports membership as unknown because no reviewed authoritative source is defined,high,Define authoritative membership evidence states and preserve unknown as blocking,true,true,true
42,2a501e26-adc2-44c6-9086-a149302e04a7,3efd208f-b148-4568-8591-13d968399081,blocking,membership,,109741,,product,product,membership,normalize_catalog_row,product_semantics.membership,unknown,catalog_rows[].product_semantics.membership,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports membership as unknown because no reviewed authoritative source is defined,high,Define authoritative membership evidence states and preserve unknown as blocking,true,true,true
43,b717fd9a-4198-42dd-b3cb-b4362b50ed6c,3efd208f-b148-4568-8591-13d968399081,blocking,missing_source_risk_data,,107605,,product,product,missing_source_risk_data,review_reasons/3 or another undeclared risk_codes producer; exact raw producer erased,undeclared risk_codes entry; exact authoritative field unavailable,normalized_missing_with_raw_code_not_retained,catalog_rows[].risk_codes[],WordPressFeedResponse.parse_page/1,SourceRisk.from_code/3 unknown-code fallback + Normalizer.ensure_dimension/2,Normalizer.source_risk_findings/1,C_unknown_by_design,Persisted evidence proves missing source-risk data but cannot attribute the exact undeclared WordPress code after fallback erased it,medium,Preserve bounded raw-code provenance and map only declared versioned translations,true,true,true
44,9c40a214-a3b6-4c79-93be-03d7a7a85902,3efd208f-b148-4568-8591-13d968399081,blocking,missing_source_risk_data,,107607,,product,product,missing_source_risk_data,review_reasons/3 or another undeclared risk_codes producer; exact raw producer erased,undeclared risk_codes entry; exact authoritative field unavailable,normalized_missing_with_raw_code_not_retained,catalog_rows[].risk_codes[],WordPressFeedResponse.parse_page/1,SourceRisk.from_code/3 unknown-code fallback + Normalizer.ensure_dimension/2,Normalizer.source_risk_findings/1,C_unknown_by_design,Persisted evidence proves missing source-risk data but cannot attribute the exact undeclared WordPress code after fallback erased it,medium,Preserve bounded raw-code provenance and map only declared versioned translations,true,true,true
45,e9752c88-f79b-4984-bbfd-2ae2485d286c,3efd208f-b148-4568-8591-13d968399081,blocking,payment_plan,,100344,,product,product,payment_plan,normalize_catalog_row,product_semantics.payment_plan,unknown,catalog_rows[].product_semantics.payment_plan,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports payment_plan as unknown because no reviewed authoritative source is defined,high,Define authoritative payment_plan evidence states and preserve unknown as blocking,true,true,true
46,dc0dbfb9-c7e4-4bc1-afaa-c41e2b716940,3efd208f-b148-4568-8591-13d968399081,blocking,payment_plan,,100684,,product,product,payment_plan,normalize_catalog_row,product_semantics.payment_plan,unknown,catalog_rows[].product_semantics.payment_plan,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports payment_plan as unknown because no reviewed authoritative source is defined,high,Define authoritative payment_plan evidence states and preserve unknown as blocking,true,true,true
47,bb4448d4-457d-4014-847e-b536992bf511,3efd208f-b148-4568-8591-13d968399081,blocking,payment_plan,,104303,,product,product,payment_plan,normalize_catalog_row,product_semantics.payment_plan,unknown,catalog_rows[].product_semantics.payment_plan,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports payment_plan as unknown because no reviewed authoritative source is defined,high,Define authoritative payment_plan evidence states and preserve unknown as blocking,true,true,true
48,9889debf-9a0b-4cea-a00b-75f9410643c1,3efd208f-b148-4568-8591-13d968399081,blocking,payment_plan,,106812,,product,product,payment_plan,normalize_catalog_row,product_semantics.payment_plan,unknown,catalog_rows[].product_semantics.payment_plan,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports payment_plan as unknown because no reviewed authoritative source is defined,high,Define authoritative payment_plan evidence states and preserve unknown as blocking,true,true,true
49,ef7c0964-0b0f-401d-a8d6-dd9134833d0e,3efd208f-b148-4568-8591-13d968399081,blocking,payment_plan,,106813,,product,product,payment_plan,normalize_catalog_row,product_semantics.payment_plan,unknown,catalog_rows[].product_semantics.payment_plan,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports payment_plan as unknown because no reviewed authoritative source is defined,high,Define authoritative payment_plan evidence states and preserve unknown as blocking,true,true,true
50,e82c9f48-873e-4a29-8d7c-40659d2a3516,3efd208f-b148-4568-8591-13d968399081,blocking,payment_plan,,106814,,product,product,payment_plan,normalize_catalog_row,product_semantics.payment_plan,unknown,catalog_rows[].product_semantics.payment_plan,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports payment_plan as unknown because no reviewed authoritative source is defined,high,Define authoritative payment_plan evidence states and preserve unknown as blocking,true,true,true
51,7b773747-2a04-425f-bdbb-5fdee8d3f52e,3efd208f-b148-4568-8591-13d968399081,blocking,payment_plan,,106815,,product,product,payment_plan,normalize_catalog_row,product_semantics.payment_plan,unknown,catalog_rows[].product_semantics.payment_plan,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports payment_plan as unknown because no reviewed authoritative source is defined,high,Define authoritative payment_plan evidence states and preserve unknown as blocking,true,true,true
52,4f6b5ccb-18be-4627-9b8e-12ac22d0b688,3efd208f-b148-4568-8591-13d968399081,blocking,payment_plan,,106816,,product,product,payment_plan,normalize_catalog_row,product_semantics.payment_plan,unknown,catalog_rows[].product_semantics.payment_plan,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports payment_plan as unknown because no reviewed authoritative source is defined,high,Define authoritative payment_plan evidence states and preserve unknown as blocking,true,true,true
53,69f469a5-c839-44d6-8b54-85ec40926d40,3efd208f-b148-4568-8591-13d968399081,blocking,payment_plan,,107605,,product,product,payment_plan,normalize_catalog_row,product_semantics.payment_plan,unknown,catalog_rows[].product_semantics.payment_plan,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports payment_plan as unknown because no reviewed authoritative source is defined,high,Define authoritative payment_plan evidence states and preserve unknown as blocking,true,true,true
54,220e275d-57a0-45d0-bfaf-122a302a257d,3efd208f-b148-4568-8591-13d968399081,blocking,payment_plan,,107607,,product,product,payment_plan,normalize_catalog_row,product_semantics.payment_plan,unknown,catalog_rows[].product_semantics.payment_plan,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports payment_plan as unknown because no reviewed authoritative source is defined,high,Define authoritative payment_plan evidence states and preserve unknown as blocking,true,true,true
55,c6893629-81be-4ca8-a579-d7cb3ad358a1,3efd208f-b148-4568-8591-13d968399081,blocking,payment_plan,,107611,,product,product,payment_plan,normalize_catalog_row,product_semantics.payment_plan,unknown,catalog_rows[].product_semantics.payment_plan,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports payment_plan as unknown because no reviewed authoritative source is defined,high,Define authoritative payment_plan evidence states and preserve unknown as blocking,true,true,true
56,7552289e-166f-4008-9b93-1f662d16fb8c,3efd208f-b148-4568-8591-13d968399081,blocking,payment_plan,,107926,,product,product,payment_plan,normalize_catalog_row,product_semantics.payment_plan,unknown,catalog_rows[].product_semantics.payment_plan,WordPressFeedResponse.parse_page/1,Normalizer.product_semantic_fact/4,Normalizer.source_risk_findings/1,C_unknown_by_design,WordPress deliberately reports payment_plan as unknown because no reviewed authoritative source is defined,high,Define authoritative payment_plan evidence states and preserve unknown as blocking,true,true,true
